Fishing Day,Fishing Gear,Number,Size (in),Site,Gear Start Time,Gear End Time,Start Day,Total Gear Effort (min),End Day,Fishing_Gear,_Site,Fishing_Day
11,3,160.0,72.0,3,1215,1400,1,26.67,1,Cast Net,North Down-Stream,2019/7/31
11,4,0.0,,3,1215,1400,1,,1,Hook and Line,North Down-Stream,2019/7/31
12,3,80.0,72.0,1,1030,1145,1,13.34,1,Cast Net,South Down-Stream,2019/8/7
12,3,80.0,72.0,1,1230,1350,1,13.34,1,Cast Net,South Down-Stream,2019/8/7
12,5,1.0,3.0,2,1000,1200,1,120.0,1,Gill net,South Up-Stream,2019/8/7
12,4,0.0,,1,1030,1145,1,,1,Hook and Line,South Down-Stream,2019/8/7
12,4,0.0,,1,1239,1350,1,,1,Hook and Line,South Down-Stream,2019/8/7
12,5,1.0,4.0,2,1000,1200,1,120.0,1,Gill net,South Up-Stream,2019/8/7
12,5,1.0,5.0,2,1000,1200,1,120.0,1,Gill net,South Up-Stream,2019/8/7
13,2,1.0,0.0,2,930,1130,1,32.75,1,Electrofishing,South Up-Stream,2019/8/14
13,4,0.0,,3,1200,1400,1,,1,Hook and Line,North Down-Stream,2019/8/14
13,3,160.0,72.0,3,1200,1400,1,26.67,1,Cast Net,North Down-Stream,2019/8/14
14,2,1.0,0.0,4,930,1145,1,28.63,1,Electrofishing,North Up-Stream,2019/8/15
14,3,160.0,72.0,1,1200,1400,1,26.67,1,Cast Net,South Down-Stream,2019/8/15
1,1,4.0,5.0,2,1600,1013,-1,1093.0,1,Hoop trap,South Up-Stream,2019/5/15
1,1,2.0,5.0,4,1600,1347,-1,1307.0,1,Hoop trap,North Up-Stream,2019/5/15
1,1,3.0,5.0,3,1600,1403,-1,1323.0,1,Hoop trap,North Down-Stream,2019/5/15
1,1,3.0,5.0,1,1600,1437,-1,1357.0,1,Hoop trap,South Down-Stream,2019/5/15
1,2,1.0,0.0,2,1030,1330,1,40.0,1,Electrofishing,South Up-Stream,2019/5/15
1,3,23.0,72.0,3,1400,1630,1,3.84,1,Cast Net,North Down-Stream,2019/5/15
2,2,1.0,0.0,4,1000,1300,1,43.0,1,Electrofishing,North Up-Stream,2019/5/24
2,3,154.0,72.0,1,1400,1615,1,25.67,1,Cast Net,South Down-Stream,2019/5/24
2,1,4.0,5.0,1,1600,1300,-1,1260.0,1,Hoop trap,South Down-Stream,2019/5/24
2,1,2.0,5.0,2,1600,1600,-1,1440.0,1,Hoop trap,South Up-Stream,2019/5/24
2,1,4.0,5.0,3,1600,1000,-1,1080.0,1,Hoop trap,North Down-Stream,2019/5/24
2,1,2.0,5.0,4,1600,1000,-1,1080.0,1,Hoop trap,North Up-Stream,2019/5/24
3,1,2.0,5.0,2,1315,930,-1,1215.0,1,Hoop trap,South Up-Stream,2019/5/29
3,1,2.0,5.0,3,1315,1315,-1,1440.0,1,Hoop trap,North Down-Stream,2019/5/29
3,1,2.0,5.0,4,1315,930,-1,1215.0,1,Hoop trap,North Up-Stream,2019/5/29
3,2,1.0,0.0,2,915,1230,1,33.33,1,Electrofishing,South Up-Stream,2019/5/29
3,3,150.0,72.0,3,1245,1605,1,25.0,1,Cast Net,North Down-Stream,2019/5/29
4,2,1.0,0.0,4,1000,1200,1,20.68,1,Electrofishing,North Up-Stream,2019/6/7
4,3,160.0,72.0,1,1230,1445,1,26.67,1,Cast Net,South Down-Stream,2019/6/7
5,1,4.0,5.0,1,1600,1030,-1,1110.0,1,Hoop trap,South Down-Stream,2019/6/12
5,1,2.0,5.0,2,1600,1050,-1,1130.0,1,Hoop trap,South Up-Stream,2019/6/12
5,1,2.0,5.0,3,1600,1100,-1,1140.0,1,Hoop trap,North Down-Stream,2019/6/12
5,1,2.0,5.0,4,1600,1100,-1,1140.0,1,Hoop trap,North Up-Stream,2019/6/12
5,3,160.0,72.0,3,1115,1415,1,26.67,1,Cast Net,North Down-Stream,2019/6/12
6,2,1.0,0.0,4,945,1130,1,43.13,1,Electrofishing,North Up-Stream,2019/6/19
6,3,160.0,72.0,1,1145,1345,1,26.67,1,Cast Net,South Down-Stream,2019/6/19
7,1,0.0,5.0,2,1600,1200,-1,1200.0,1,Hoop trap,South Up-Stream,2019/6/26
7,1,0.0,5.0,1,1600,1200,-1,1200.0,1,Hoop trap,South Down-Stream,2019/6/26
7,1,0.0,5.0,3,1600,1300,-1,1260.0,1,Hoop trap,North Down-Stream,2019/6/26
7,1,0.0,5.0,4,1600,1300,-1,1260.0,1,Hoop trap,North Up-Stream,2019/6/26
7,2,1.0,0.0,2,935,1115,1,36.62,1,Electrofishing,South Up-Stream,2019/6/26
7,3,160.0,72.0,1,1130,1330,1,26.67,1,Cast Net,South Down-Stream,2019/6/26
8,1,2.0,5.0,2,1400,925,-1,1165.0,1,Hoop trap,South Up-Stream,2019/7/10
8,1,2.0,5.0,4,1400,930,-1,1160.0,1,Hoop trap,North Up-Stream,2019/7/10
8,1,3.0,5.0,3,1400,1150,-1,1310.0,1,Hoop trap,North Down-Stream,2019/7/10
8,1,3.0,5.0,1,1400,1200,-1,1320.0,1,Hoop trap,South Down-Stream,2019/7/10
8,2,1.0,0.0,2,925,1125,1,40.63,1,Electrofishing,South Up-Stream,2019/7/10
8,3,154.0,72.0,3,1140,1340,1,25.67,1,Cast Net,North Down-Stream,2019/7/10
9,3,160.0,72.0,1,930,1045,1,26.67,1,Cast Net,South Down-Stream,2019/7/17
9,2,1.0,0.0,4,1100,1230,1,26.55,1,Electrofishing,North Up-Stream,2019/7/17
10,3,51.0,72.0,1,1200,1400,1,8.5,1,Cast Net,South Down-Stream,2019/7/24
10,5,1.0,3.0,1,1200,1300,1,60.0,1,Gill net,South Down-Stream,2019/7/24
10,5,1.0,4.0,1,1200,1300,1,60.0,1,Gill net,South Down-Stream,2019/7/24
10,4,,0.0,1,1200,1300,1,,1,Hook and Line,South Down-Stream,2019/7/24
3,1,2.0,5.0,1,1315,930,-1,1215.0,1,Hoop trap,South Down-Stream,2019/5/29
11,2,1.0,0.0,2,920,1150,1,37.2,1,Electrofishing,South Up-Stream,2019/7/31
15,3,42.0,72.0,1,1230,1330,1,60.0,1,Cast Net,South Down-Stream,2021/3/10
16,3,40.0,72.0,3,1200,1300,1,60.0,1,Cast Net,North Down-Stream,2021/3/17
17,3,277.0,72.0,1,940,1530,1,350.0,1,Cast Net,South Down-Stream,2021/5/4
18,3,277.0,72.0,1,1000,1430,1,270.0,1,Cast Net,South Down-Stream,2021/5/5
18,1,4.0,5.0,1,1400,1000,-1,1200.0,1,Hoop trap,South Down-Stream,2021/5/5
18,1,4.0,5.0,2,1400,1000,-1,1200.0,1,Hoop trap,South Up-Stream,2021/5/5
18,4,1.0,0.0,1,1200,1530,1,120.0,1,Hook and Line,South Down-Stream,2021/5/5
19,5,1.0,4.0,3,1215,1430,1,135.0,1,Gill net,North Down-Stream,2021/5/11
19,5,1.0,5.0,3,1215,1430,1,135.0,1,Gill net,North Down-Stream,2021/5/11
19,5,1.0,6.0,3,1215,1430,1,135.0,1,Gill net,North Down-Stream,2021/5/11
19,5,1.0,4.0,4,1500,1615,1,75.0,1,Gill net,North Up-Stream,2021/5/11
19,5,1.0,5.0,4,1500,1615,1,75.0,1,Gill net,North Up-Stream,2021/5/11
19,5,1.0,6.0,4,1500,1615,1,75.0,1,Gill net,North Up-Stream,2021/5/11
19,3,51.0,72.0,3,1200,1630,1,270.0,1,Cast Net,North Down-Stream,2021/5/11
19,4,2.0,0.0,3,1300,1530,1,300.0,1,Hook and Line,North Down-Stream,2021/5/11
26,1,4.0,5.0,2,1600,1130,-1,1170.0,1,Hoop trap,South Up-Stream,2021/6/2
26,2,1.0,0.0,2,1130,1410,1,27.08,1,Electrofishing,South Up-Stream,2021/6/2
26,3,159.0,72.0,1,950,1430,1,280.0,1,Cast Net,South Down-Stream,2021/6/2
26,4,2.0,0.0,1,945,1420,1,275.0,1,Hook and Line,South Down-Stream,2021/6/2
27,3,232.0,72.0,3,930,1400,1,270.0,1,Cast Net,North Down-Stream,2021/6/8
27,4,1.0,0.0,3,945,1330,1,225.0,1,Hook and Line,North Down-Stream,2021/6/8
27,4,1.0,0.0,3,1200,1340,1,120.0,1,Hook and Line,North Down-Stream,2021/6/8
27,2,1.0,0.0,4,1203,1255,1,10.98,1,Electrofishing,North Up-Stream,2021/6/8
28,1,4.0,5.0,3,1345,1010,-1,1225.0,1,Hoop trap,North Down-Stream,2021/6/9
28,1,3.0,5.0,4,1410,1020,-1,1170.0,1,Hoop trap,North Up-Stream,2021/6/9
28,2,1.0,0.0,4,1115,1158,1,272.0,1,Electrofishing,North Up-Stream,2021/6/9
28,3,247.0,72.0,3,920,1335,1,245.0,1,Cast Net,North Down-Stream,2021/6/9
28,4,2.0,0.0,3,820,1230,1,250.0,1,Hook and Line,North Down-Stream,2021/6/9
29,2,1.0,0.0,2,1350,1440,1,1169.0,1,Electrofishing,South Up-Stream,2021/6/15
29,3,183.0,72.0,1,930,1530,1,360.0,1,Cast Net,South Down-Stream,2021/6/15
30,1,4.0,5.0,1,1520,1015,-1,1165.0,1,Hoop trap,South Down-Stream,2021/6/16
30,1,4.0,5.0,2,1520,1000,-1,1120.0,1,Hoop trap,South Up-Stream,2021/6/16
30,3,228.0,72.0,1,850,1515,1,385.0,1,Cast Net,South Down-Stream,2021/6/16
30,4,3.0,0.0,1,1000,1515,1,315.0,1,Hook and Line,South Down-Stream,2021/6/16
31,5,1.0,1.0,4,1320,1430,1,70.0,1,Gill net,North Up-Stream,2021/6/22
31,5,1.0,2.0,4,1320,1430,1,70.0,1,Gill net,North Up-Stream,2021/6/22
31,5,1.0,3.0,4,1320,1430,1,70.0,1,Gill net,North Up-Stream,2021/6/22
31,2,1.0,0.0,4,1015,1110,1,55.0,1,Electrofishing,North Up-Stream,2021/6/22
31,4,1.0,0.0,4,1230,1255,1,25.0,1,Hook and Line,North Up-Stream,2021/6/22
31,4,1.0,0.0,3,930,1330,1,240.0,1,Hook and Line,North Down-Stream,2021/6/22
31,4,1.0,0.0,3,930,1430,1,300.0,1,Hook and Line,North Down-Stream,2021/6/22
31,3,224.0,72.0,3,910,1430,1,320.0,1,Cast Net,North Down-Stream,2021/6/22
32,1,4.0,5.0,3,1420,1000,-1,1180.0,1,Hoop trap,North Down-Stream,2021/6/23
32,1,4.0,5.0,4,1430,1045,-1,1235.0,1,Hoop trap,North Up-Stream,2021/6/23
32,3,138.0,72.0,3,910,1440,1,330.0,1,Cast Net,North Down-Stream,2021/6/23
32,4,3.0,0.0,3,930,1400,1,270.0,1,Hook and Line,North Down-Stream,2021/6/23
32,4,1.0,0.0,3,1030,1400,1,210.0,1,Hook and Line,North Down-Stream,2021/6/23
32,2,1.0,0.0,4,1110,1145,1,24.08,1,Electrofishing,North Up-Stream,2021/6/23
32,4,1.0,0.0,4,930,950,1,20.0,1,Hook and Line,North Up-Stream,2021/6/23
33,5,1.0,5.0,1,1115,1340,1,145.0,1,Gill net,South Down-Stream,2021/6/29
33,4,2.0,0.0,1,920,1150,1,150.0,1,Hook and Line,South Down-Stream,2021/6/29
33,4,2.0,0.0,1,930,1320,1,230.0,1,Hook and Line,South Down-Stream,2021/6/29
33,3,202.0,72.0,1,920,1320,1,250.0,1,Cast Net,South Down-Stream,2021/6/29
34,1,4.0,5.0,1,1340,1000,-1,1220.0,1,Hoop trap,South Down-Stream,2021/6/30
34,2,1.0,0.0,2,1250,1330,1,1.28,1,Electrofishing,South Up-Stream,2021/6/30
34,3,158.0,72.0,1,910,1440,1,330.0,1,Cast Net,South Down-Stream,2021/6/30
34,4,2.0,0.0,1,930,1400,1,270.0,1,Hook and Line,South Down-Stream,2021/6/30
34,4,1.0,0.0,1,915,1330,1,255.0,1,Hook and Line,South Down-Stream,2021/6/30
35,2,1.0,0.0,4,1215,1320,1,16.4,1,Electrofishing,North Up-Stream,2021/7/6
35,4,2.0,0.0,3,900,1500,1,360.0,1,Hook and Line,North Down-Stream,2021/7/6
35,3,217.0,72.0,3,900,1500,1,360.0,1,Cast Net,North Down-Stream,2021/7/6
36,1,3.0,5.0,3,1500,1115,-1,1215.0,1,Hoop trap,North Down-Stream,2021/7/7
36,1,3.0,5.0,4,1500,1120,-1,1210.0,1,Hoop trap,North Up-Stream,2021/7/7
36,4,3.0,0.0,3,10,1230,1,150.0,1,Hook and Line,North Down-Stream,2021/7/7
36,2,1.0,0.0,4,1120,1200,1,18.5,1,Electrofishing,North Up-Stream,2021/7/7
36,3,161.0,72.0,3,930,1500,1,330.0,1,Cast Net,North Down-Stream,2021/7/7
37,4,1.0,0.0,1,915,1310,1,235.0,1,Hook and Line,South Down-Stream,2021/7/13
37,4,3.0,0.0,1,910,1330,1,260.0,1,Hook and Line,South Down-Stream,2021/7/13
37,3,222.0,72.0,1,910,1530,1,380.0,1,Cast Net,South Down-Stream,2021/7/13
25,4,1.0,0.0,1,1100,1200,1,60.0,1,Hook and Line,South Down-Stream,2021/6/1
26,1,4.0,5.0,1,1530,1030,-1,1140.0,1,Hoop trap,South Down-Stream,2021/6/2
20,1,4.0,5.0,4,1600,1500,-1,1400.0,1,Hoop trap,North Up-Stream,2021/5/12
20,1,4.0,5.0,3,1600,1445,-1,1365.0,0,Hoop trap,North Down-Stream,2021/5/12
20,2,1.0,0.0,4,1330,1445,1,27.0,1,Electrofishing,North Up-Stream,2021/5/12
20,3,54.0,72.0,3,1000,1530,1,330.0,1,Cast Net,North Down-Stream,2021/5/12
21,5,1.0,1.0,1,1030,1245,1,135.0,1,Gill net,South Down-Stream,2021/5/18
21,5,2.0,1.0,1,1030,1245,1,135.0,1,Gill net,South Down-Stream,2021/5/18
21,5,3.0,1.0,1,1030,1245,1,135.0,1,Gill net,South Down-Stream,2021/5/18
21,2,1.0,0.0,2,1300,1425,1,12.9,1,Electrofishing,South Up-Stream,2021/5/18
21,4,2.0,0.0,1,1030,1400,1,210.0,1,Hook and Line,South Down-Stream,2021/5/18
21,3,138.0,72.0,1,1000,1400,1,240.0,1,Cast Net,South Down-Stream,2021/5/18
22,1,4.0,5.0,1,1450,1045,-1,1295.0,1,Hoop trap,South Down-Stream,2021/5/19
38,1,4.0,5.0,1,1115,910,-1,1315.0,1,Hoop trap,South Down-Stream,2021/7/14
38,1,4.0,5.0,2,1115,910,-1,1315.0,1,Hoop trap,South Up-Stream,2021/7/14
38,2,1.0,0.0,2,1250,1320,1,20.8,1,Electrofishing,South Up-Stream,2021/7/14
38,4,1.0,0.0,1,1130,1330,1,120.0,1,Hook and Line,South Down-Stream,2021/7/14
38,4,3.0,0.0,1,930,1400,1,270.0,1,Hook and Line,South Down-Stream,2021/7/14
39,3,208.0,72.0,3,920,1430,1,310.0,1,Cast Net,North Down-Stream,2021/7/20
39,4,2.0,0.0,3,900,1130,1,210.0,1,Hook and Line,North Down-Stream,2021/7/20
40,1,2.0,5.0,3,1400,940,-1,1180.0,1,Hoop trap,North Down-Stream,2021/7/21
22,1,4.0,5.0,2,1500,1045,-1,1285.0,1,Hoop trap,South Up-Stream,2021/5/19
22,5,1.0,1.0,1,1015,1255,1,190.0,1,Gill net,South Down-Stream,2021/5/19
22,5,1.0,2.0,1,1015,1255,1,190.0,1,Gill net,South Down-Stream,2021/5/19
22,5,1.0,3.0,1,1016,1255,1,190.0,1,Gill net,South Down-Stream,2021/5/19
22,2,1.0,0.0,2,1115,1225,1,12.9,1,Electrofishing,South Up-Stream,2021/5/19
22,3,135.0,72.0,1,1000,1430,1,270.0,1,Cast Net,South Down-Stream,2021/5/19
22,4,2.0,0.0,1,1100,1430,1,210.0,1,Hook and Line,South Down-Stream,2021/5/19
23,3,292.0,72.0,3,1020,1600,1,320.0,1,Cast Net,North Down-Stream,2021/5/24
23,4,2.0,0.0,3,1100,1540,1,280.0,1,Hook and Line,North Down-Stream,2021/5/24
23,4,2.0,0.0,4,1040,1100,1,20.0,1,Hook and Line,North Up-Stream,2021/5/24
23,5,1.0,1.0,4,1345,1500,1,75.0,1,Gill net,North Up-Stream,2021/5/24
23,5,1.0,2.0,4,1345,1500,1,75.0,1,Gill net,North Up-Stream,2021/5/24
23,5,1.0,3.0,4,1345,1500,1,75.0,1,Gill net,North Up-Stream,2021/5/24
24,1,4.0,5.0,3,1600,1040,-1,1120.0,1,Hoop trap,North Down-Stream,2021/5/25
24,1,4.0,5.0,4,1400,1100,-1,1200.0,1,Hoop trap,North Up-Stream,2021/5/25
24,3,220.0,72.0,3,930,1430,1,300.0,1,Cast Net,North Down-Stream,2021/5/25
24,4,1.0,0.0,3,1000,1400,1,240.0,1,Hook and Line,North Down-Stream,2021/5/25
25,2,1.0,0.0,2,1300,1545,1,19.17,1,Electrofishing,South Up-Stream,2021/6/1
25,3,137.0,72.0,1,1000,1530,1,330.0,1,Cast Net,South Down-Stream,2021/6/1
40,1,2.0,5.0,4,1420,940,-1,1160.0,1,Hoop trap,North Up-Stream,2021/7/21
40,3,152.0,72.0,3,920,1410,1,290.0,1,Cast Net,North Down-Stream,2021/7/21
40,4,2.0,0.0,3,1030,1410,1,220.0,1,Hook and Line,North Down-Stream,2021/7/21
41,3,254.0,72.0,1,900,1420,1,320.0,1,Cast Net,South Down-Stream,2021/7/27
41,4,2.0,0.0,1,1000,1200,1,120.0,1,Hook and Line,South Down-Stream,2021/7/27
42,1,2.0,5.0,1,1400,930,-1,1170.0,1,Hoop trap,South Down-Stream,2021/7/28
42,1,2.0,5.0,2,1400,930,-1,1170.0,1,Hoop trap,South Up-Stream,2021/7/28
42,5,1.0,1.0,1,1040,1320,1,160.0,1,Gill net,South Down-Stream,2021/7/28
42,5,1.0,2.0,1,1040,1320,1,160.0,1,Gill net,South Down-Stream,2021/7/28
42,5,1.0,3.0,1,1040,1320,1,160.0,1,Gill net,South Down-Stream,2021/7/28
42,3,201.0,72.0,1,900,1330,1,270.0,1,Cast Net,South Down-Stream,2021/7/28
42,4,1.0,0.0,1,1100,1330,1,150.0,1,Hook and Line,South Down-Stream,2021/7/28
42,1,2.0,0.0,1,1000,1200,1,120.0,1,Hoop trap,South Down-Stream,2021/7/28
43,3,119.0,72.0,3,920,1410,1,290.0,1,Cast Net,North Down-Stream,2021/8/3
43,4,1.0,0.0,3,930,1400,1,270.0,1,Hook and Line,North Down-Stream,2021/8/3
43,4,2.0,0.0,3,1030,1300,1,150.0,1,Hook and Line,North Down-Stream,2021/8/3
43,5,1.0,1.0,4,1120,1400,1,160.0,1,Gill net,North Up-Stream,2021/8/3
43,5,1.0,2.0,4,1120,1400,1,160.0,1,Gill net,North Up-Stream,2021/8/3
43,5,1.0,3.0,4,1120,1400,1,160.0,1,Gill net,North Up-Stream,2021/8/3
44,1,2.0,5.0,3,1400,920,-1,1160.0,1,Hoop trap,North Down-Stream,2021/8/4
44,1,3.0,5.0,4,1400,920,-1,1160.0,1,Hoop trap,North Up-Stream,2021/8/4
44,2,1.0,0.0,4,1020,1100,1,27.35,1,Electrofishing,North Up-Stream,2021/8/4
44,4,1.0,0.0,3,920,1400,1,280.0,1,Hook and Line,North Down-Stream,2021/8/4
44,3,120.0,72.0,3,910,1400,1,290.0,1,Cast Net,North Down-Stream,2021/8/4
44,3,6.0,72.0,4,910,1400,1,290.0,1,Cast Net,North Up-Stream,2021/8/4
45,2,1.0,0.0,2,1320,1400,1,8.43,1,Electrofishing,South Up-Stream,2021/8/10
45,3,168.0,72.0,1,910,1430,1,380.0,1,Cast Net,South Down-Stream,2021/8/10
45,4,3.0,0.0,2,1000,1430,1,270.0,1,Hook and Line,South Up-Stream,2021/8/10
45,5,1.0,4.0,2,1220,1320,1,60.0,1,Gill net,South Up-Stream,2021/8/10
45,5,1.0,7.0,2,1220,1320,1,60.0,1,Gill net,South Up-Stream,2021/8/10
46,1,2.0,5.0,1,1320,900,-1,460.0,1,Hoop trap,South Down-Stream,2021/8/11
46,1,3.0,5.0,2,1340,900,-1,480.0,1,Hoop trap,South Up-Stream,2021/8/11
46,2,1.0,0.0,2,1010,1100,1,26.97,1,Electrofishing,South Up-Stream,2021/8/11
46,3,109.0,72.0,1,900,1230,1,270.0,1,Cast Net,South Down-Stream,2021/8/11
46,4,3.0,0.0,2,1000,1045,1,45.0,1,Hook and Line,South Up-Stream,2021/8/11
47,2,1.0,0.0,4,958,1040,1,27.65,1,Electrofishing,North Up-Stream,2021/8/17
47,3,152.0,72.0,3,900,1200,1,180.0,1,Cast Net,North Down-Stream,2021/8/17
47,4,1.0,0.0,3,900,1200,1,180.0,1,Hook and Line,North Down-Stream,2021/8/17
47,4,2.0,0.0,3,100,1200,1,120.0,1,Hook and Line,North Down-Stream,2021/8/17
48,1,2.0,5.0,3,1200,900,-1,1260.0,1,Hoop trap,North Down-Stream,2021/8/18
48,1,3.0,5.0,4,1200,900,-1,1260.0,1,Hoop trap,North Up-Stream,2021/8/18
48,3,110.0,72.0,3,900,1400,1,360.0,1,Cast Net,North Down-Stream,2021/8/18
48,4,1.0,0.0,4,900,910,1,10.0,1,Hook and Line,North Up-Stream,2021/8/18
47,5,1.0,5.0,4,1030,1130,1,60.0,1,Gill net,North Up-Stream,2021/8/17
47,5,1.0,6.0,4,1030,1130,1,60.0,1,Gill net,North Up-Stream,2021/8/17
47,5,1.0,7.0,4,1030,1130,1,60.0,1,Gill net,North Up-Stream,2021/8/17
0,0,0.0,,0,0,0,0,,1,0,0,0
49,3,42.0,72.0,1,930,1140,1,130.0,1,Cast Net,South Down-Stream,2021/8/24
49,4,1.0,0.0,1,930,955,1,25.0,1,Hook and Line,South Down-Stream,2021/8/24
49,5,1.0,5.0,2,1030,1140,1,60.0,1,Gill net,South Up-Stream,2021/8/24
49,5,1.0,6.0,2,1030,1140,1,60.0,1,Gill net,South Up-Stream,2021/8/24
49,5,1.0,7.0,2,1030,1140,1,60.0,1,Gill net,South Up-Stream,2021/8/24
50,1,2.0,5.0,1,1140,1345,-1,1565.0,1,Hoop trap,South Down-Stream,2021/8/25
50,1,3.0,5.0,3,1140,1345,-1,1565.0,1,Hoop trap,North Down-Stream,2021/8/25
50,2,1.0,0.0,2,1000,1110,1,19.98,1,Electrofishing,South Up-Stream,2021/8/25
50,3,110.0,72.0,1,900,1345,1,345.0,1,Cast Net,South Down-Stream,2021/8/25
50,4,1.0,0.0,1,900,1230,1,210.0,1,Hook and Line,South Down-Stream,2021/8/25
50,4,2.0,0.0,1,1000,1230,1,150.0,1,Hook and Line,South Down-Stream,2021/8/25
51,3,125.0,72.0,3,900,1130,1,150.0,1,Cast Net,North Down-Stream,2021/8/31
51,4,1.0,0.0,4,900,1130,1,150.0,1,Hook and Line,North Up-Stream,2021/8/31
51,4,1.0,0.0,4,1000,1130,1,90.0,1,Hook and Line,North Up-Stream,2021/8/31
52,3,90.0,72.0,1,900,1200,1,540.0,1,Cast Net,South Down-Stream,2021/9/7
52,4,1.0,0.0,2,900,1200,1,540.0,1,Hook and Line,South Up-Stream,2021/9/7
53,3,215.0,72.0,3,900,1130,1,150.0,1,Cast Net,North Down-Stream,2021/9/14
53,4,1.0,0.0,4,920,1120,1,120.0,1,Hook and Line,North Up-Stream,2021/9/14
53,4,1.0,0.0,4,920,1030,1,70.0,1,Hook and Line,North Up-Stream,2021/9/14
54,3,162.0,72.0,1,910,1430,1,400.0,1,Cast Net,South Down-Stream,2021/9/21
54,4,1.0,0.0,1,1200,1219,1,19.0,1,Hook and Line,South Down-Stream,2021/9/21
54,4,1.0,0.0,1,1200,1210,1,10.0,1,Hook and Line,South Down-Stream,2021/9/21
54,4,4.0,0.0,1,1230,1320,1,50.0,1,Hook and Line,South Down-Stream,2021/9/21
55,3,77.0,72.0,3,930,1120,1,110.0,1,Cast Net,North Down-Stream,2021/9/28
55,4,1.0,0.0,4,930,950,1,20.0,1,Hook and Line,North Up-Stream,2021/9/28
56,3,65.0,72.0,1,915,1100,1,105.0,1,Cast Net,South Down-Stream,2021/10/5
56,4,1.0,0.0,2,915,1100,1,105.0,1,Hook and Line,South Up-Stream,2021/10/5
57,3,313.0,72.0,3,1000,1230,1,150.0,1,Cast Net,North Down-Stream,2021/10/12
57,4,2.0,0.0,3,1030,1105,1,35.0,1,Hook and Line,North Down-Stream,2021/10/12
57,4,1.0,0.0,4,900,1240,1,220.0,1,Hook and Line,North Up-Stream,2021/10/12
57,4,2.0,0.0,4,930,1015,1,45.0,1,Hook and Line,North Up-Stream,2021/10/12
58,3,69.0,72.0,1,900,1120,1,140.0,1,Cast Net,South Down-Stream,2021/10/19
58,4,1.0,0.0,2,1040,1110,1,30.0,1,Hook and Line,South Up-Stream,2021/10/19
58,4,1.0,0.0,2,900,1000,1,60.0,1,Hook and Line,South Up-Stream,2021/10/19
59,3,51.0,72.0,3,900,1120,1,140.0,1,Cast Net,North Down-Stream,2021/10/26
59,4,4.0,0.0,4,1000,1045,1,45.0,1,Hook and Line,North Up-Stream,2021/10/26
60,3,109.0,72.0,1,900,1120,1,140.0,1,Cast Net,South Down-Stream,2021/11/9
60,4,3.0,0.0,2,930,1030,1,60.0,1,Hook and Line,South Up-Stream,2021/11/9
60,4,1.0,0.0,2,950,1035,1,45.0,1,Hook and Line,South Up-Stream,2021/11/9
61,3,154.0,72.0,3,900,1130,1,150.0,1,Cast Net,North Down-Stream,2021/11/16
61,4,1.0,0.0,4,930,1130,1,120.0,1,Hook and Line,North Up-Stream,2021/11/16
62,3,157.0,72.0,1,1815,2000,1,105.0,1,Cast Net,South Down-Stream,2021/11/23
62,4,4.0,0.0,1,1815,2000,1,105.0,1,Hook and Line,South Down-Stream,2021/11/23
63,3,39.0,72.0,1,1815,1930,1,75.0,1,Cast Net,South Down-Stream,2021/11/30
63,4,1.0,0.0,1,1815,1830,1,15.0,1,Hook and Line,South Down-Stream,2021/11/30
63,4,1.0,0.0,1,1810,1900,1,80.0,1,Hook and Line,South Down-Stream,2021/11/30
